Sl,PID,FN,LN,Pos,Coun,DOB
360,390,Chris,Sutton,F,England,10-Mar-73
361,391,Lee,Power,F,England,30-Jun-72
362,393,Andy,Marriott,G,England,11-Oct-70
363,394,Mark,Crossley,G,Wales,16-Jun-69
364,395,Stuart,Pearce,D,England,24-Apr-62
365,396,Gary,Charles,D,England,13-Apr-70
366,397,Carl,Tiler,D,England,11-Feb-70
367,398,Steve,Chettle,D,England,27-Sep-68
368,399,Brett,Williams,D,England,09-Mar-68
369,400,Steve,Blatherwick,D,England,20-Sep-73
370,401,Scot,Gemmill,M,Scotland,02-Jan-71
371,402,Thorvaldu,Örlygsson,M,Iceland,02-Aug-66
372,403,Stephen,Howe,M,England,06-Nov-73
373,404,Ian,Woan,M,England,14-Dec-67
374,406,Steve,Stone,M,England,20-Aug-71
375,407,Roy,Keane,M,Ireland,10-Aug-71
376,408,Kingsley,Black,M,Northern Ireland,22-Jun-68
377,409,Neil,Webb,M,England,30-Jul-63
378,410,Gary,Crosby,M,England,08-May-64
379,411,Nigel,Clough,F,England,19-Mar-66
380,411,Nigel,Clough,M,England,19-Mar-66
381,412,Robert,Rosario,F,England,04-Mar-66
382,413,Paul,McGregor,F,England,17-Dec-74
383,415,Jon,Hallworth,G,England,26-Oct-65
384,416,Paul,Gerrard,G,England,22-Jan-73
385,418,Andy,Barlow,D,England,24-Nov-65
386,419,Craig,Fleming,D,England,06-Oct-71
387,420,Neil,Pointon,D,England,28-Nov-64
388,421,Neil,McDonald,D,England,02-Nov-65
389,422,Steve,Redmond,D,England,11-Feb-67
390,423,Gunnar,Halle,D,Norway,11-Aug-65
391,424,Chris,Makin,D,England,08-May-73
392,425,Richard,Jobson,D,England,09-May-63
393,426,Ian,Marshall,D,England,20-Mar-66
394,426,Ian,Marshall,M,England,20-Mar-66
395,427,Mark,Brennan,M,England,04-Oct-65
396,428,Nick,Henry,M,England,21-Feb-69
397,429,Mike,Milligan,M,England,20-Feb-67
398,430,Neil,Adams,M,England,23-Nov-65
399,431,Paul,Bernard,M,Scotland,30-Dec-72
400,432,Graeme,Sharp,F,Scotland,16-Oct-60
401,433,Roger,Palmer,F,England,30-Jan-59
402,434,Andy,Ritchie,F,Scotland,23-Feb-56
403,435,Paul,Moulden,F,England,06-Sep-67
404,436,Ian,Olney,F,England,17-Dec-69
405,437,Orpheo,Keizerweerd,F,Netherlands,21-Nov-68
406,438,Neil,Tolson,F,England,25-Oct-73
407,439,Darren,Beckford,F,England,12-Jun-67
408,441,Jan,Stejskal,G,Czech Republic,15-Jan-62
409,442,Tony,Roberts,G,Wales,04-Aug-69
410,443,Danny,Maddix,D,England,11-Oct-67
411,444,Karl,Ready,D,England,14-Aug-72
412,445,Rufus,Brevett,D,England,24-Sep-69
413,446,Ian,Holloway,D,England,12-Mar-63
414,447,David,Bardsley,D,England,11-Sep-64
415,448,Darren,Peacock,D,England,03-Feb-68
416,450,Alan,McCarthy,D,England,11-Jan-72
417,451,Alan,McDonald,D,Northern Ireland,12-Oct-63
418,452,Clive,Wilson,D,England,13-Nov-61
419,453,Andy,Impey,D,England,30-Sep-71
420,454,Maurice,Doyle,M,England,17-Oct-69
421,455,Ray,Wilkins,M,England,14-Sep-56
422,456,Andy,Sinton,M,England,19-Mar-66
423,458,Devon,White,M,England,02-Mar-64
424,459,Michael,Meaker,M,Wales,18-Aug-71
425,460,Simon,Barker,M,England,04-Nov-64
426,461,Dennis,Bailey,F,England,13-Nov-65
427,462,Les,Ferdinand,F,England,08-Dec-66
428,463,Bradley,Allen,F,England,13-Sep-71
429,464,Garry,Thompson,F,England,07-Oct-59
430,465,Gary,Penrice,F,England,23-Mar-64
431,466,Dougie,Freedman,F,Scotland,25-May-74
432,468,Simon,Tracey,G,England,09-Dec-67
433,469,Alan,Kelly,G,Ireland,11-Aug-68
434,471,Paul,Beesley,D,England,21-Jul-65
435,472,Kevin,Gage,D,England,21-Apr-64
436,473,Ian,Bryson,D,Scotland,26-Nov-62
437,474,Tom,Cowan,D,Scotland,28-Jun-69
438,475,Dave,Barnes,D,England,16-Nov-61
439,476,Brian,Gayle,D,England,06-Mar-65
440,477,Jamie,Hoyland,D,England,23-Jan-66
441,478,Carl,Bradshaw,M,England,10-Feb-68
442,479,Paul,Rogers,M,England,21-Mar-65
